Source container,Internal path,Extracted filename,File type,Pixel dimensions,Color mode,Alpha channel,Vector or raster,File size,Likely design,Likely product,Quality rank,Notes
KWW_Production_Packet.pdf,page image (alpha-composited) austin_skyline_dark_x33,recovered-assets/_packet_alpha/austin_skyline_dark_x33.png,png,1536x1024,RGBA,yes,raster,247274,Austin Skyline,,4-medium-preview,"Approved packet line art, dark variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) austin_skyline_light_x31,recovered-assets/_packet_alpha/austin_skyline_light_x31.png,png,1536x1024,RGBA,yes,raster,245042,Austin Skyline,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) australian_shepherd_light_x76,recovered-assets/_packet_alpha/australian_shepherd_light_x76.png,png,1024x1024,RGBA,yes,raster,189585,Australian Shepherd,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) chihuahua_light_x74,recovered-assets/_packet_alpha/chihuahua_light_x74.png,png,1024x1024,RGBA,yes,raster,137643,Chihuahua,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) corgi_light_x72,recovered-assets/_packet_alpha/corgi_light_x72.png,png,1024x1024,RGBA,yes,raster,159764,Corgi,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) dachshund_light_x64,recovered-assets/_packet_alpha/dachshund_light_x64.png,png,1536x1024,RGBA,yes,raster,136417,Dachshund,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) dallas_skyline_dark_x37,recovered-assets/_packet_alpha/dallas_skyline_dark_x37.png,png,1536x1024,RGBA,yes,raster,255764,Dallas Skyline,,4-medium-preview,"Approved packet line art, dark variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) dallas_skyline_light_x35,recovered-assets/_packet_alpha/dallas_skyline_light_x35.png,png,1536x1024,RGBA,yes,raster,254762,Dallas Skyline,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) french_bulldog_light_x62,recovered-assets/_packet_alpha/french_bulldog_light_x62.png,png,1024x1024,RGBA,yes,raster,165111,French Bulldog,French Bulldog Tee,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) frenchie,recovered-assets/_packet_alpha/frenchie.png,png,1024x1024,RGBA,yes,raster,165111,Unknown,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) german_shepherd_light_x70,recovered-assets/_packet_alpha/german_shepherd_light_x70.png,png,1024x1024,RGBA,yes,raster,206342,German Shepherd,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) golden,recovered-assets/_packet_alpha/golden.png,png,1024x1024,RGBA,yes,raster,209039,Unknown,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) golden_retriever_light_x66,recovered-assets/_packet_alpha/golden_retriever_light_x66.png,png,1024x1024,RGBA,yes,raster,209039,Golden Retriever,Golden Retriever Tee,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) houston_skyline_dark_x54,recovered-assets/_packet_alpha/houston_skyline_dark_x54.png,png,1536x1024,RGBA,yes,raster,228947,Houston Skyline,,4-medium-preview,"Approved packet line art, dark variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) houston_skyline_light_x52,recovered-assets/_packet_alpha/houston_skyline_light_x52.png,png,1536x1024,RGBA,yes,raster,226905,Houston Skyline,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) labrador_light_x68,recovered-assets/_packet_alpha/labrador_light_x68.png,png,1024x1024,RGBA,yes,raster,279124,Labrador,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) san_antonio_skyline_dark_x50,recovered-assets/_packet_alpha/san_antonio_skyline_dark_x50.png,png,1536x1024,RGBA,yes,raster,167770,San Antonio Skyline,,4-medium-preview,"Approved packet line art, dark variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) san_antonio_skyline_light_x48,recovered-assets/_packet_alpha/san_antonio_skyline_light_x48.png,png,1536x1024,RGBA,yes,raster,167830,San Antonio Skyline,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) siberian_husky_light_x78,recovered-assets/_packet_alpha/siberian_husky_light_x78.png,png,1024x1024,RGBA,yes,raster,369315,Siberian Husky,,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) waco_dark,recovered-assets/_packet_alpha/waco_dark.png,png,1536x1024,RGBA,yes,raster,376468,Waco Skyline,Waco Skyline Tee,4-medium-preview,"Approved packet line art, dark variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) waco_light,recovered-assets/_packet_alpha/waco_light.png,png,1536x1024,RGBA,yes,raster,374741,Waco Skyline,Waco Skyline Tee,4-medium-preview,"Approved packet line art, light variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) waco_skyline_dark_x29,recovered-assets/_packet_alpha/waco_skyline_dark_x29.png,png,1536x1024,RGBA,yes,raster,376468,Waco Skyline,Waco Skyline Tee,4-medium-preview,"Approved packet line art, dark variant, transparent"
KWW_Production_Packet.pdf,page image (alpha-composited) waco_skyline_light_x26,recovered-assets/_packet_alpha/waco_skyline_light_x26.png,png,1536x1024,RGBA,yes,raster,374741,Waco Skyline,Waco Skyline Tee,4-medium-preview,"Approved packet line art, light variant, transparent"
theme_export__keepwacowagging-myshopify-,icon-3d-model_c9c96acb.svg,recovered-assets/theme_export__keepwacowagging-myshopify-/icon-3d-model_c9c96acb.svg,svg,vector,vector,n/a,vector,532,Mockup/Theme asset,,1-vector,Mockup/theme reference — not print art
theme_export__keepwacowagging-myshopify-,icon-fire_1db02a87.svg,recovered-assets/theme_export__keepwacowagging-myshopify-/icon-fire_1db02a87.svg,svg,vector,vector,n/a,vector,1366,Mockup/Theme asset,,1-vector,Mockup/theme reference — not print art
theme_export__keepwacowagging-myshopify-,icon-leather_cff7c836.svg,recovered-assets/theme_export__keepwacowagging-myshopify-/icon-leather_cff7c836.svg,svg,vector,vector,n/a,vector,3209,Mockup/Theme asset,,1-vector,Mockup/theme reference — not print art
theme_export__keepwacowagging-myshopify-,icon-copy_11a4d83d.svg,recovered-assets/theme_export__keepwacowagging-myshopify-/icon-copy_11a4d83d.svg,svg,vector,vector,n/a,vector,387,Mockup/Theme asset,,1-vector,Mockup/theme reference — not print art
theme_export__keepwacowagging-myshopify-,icon-hamburger_d134e628.svg,recovered-assets/theme_export__keepwacowagging-myshopify-/icon-hamburger_d134e628.svg,svg,vector,vector,n/a,vector,303,Mockup/Theme asset,,1-vector,Mockup/theme reference — not print art
theme_export__keepwacowagging-myshopify-,icon-plus_65e2ce1c.svg,recovered-assets/theme_export__keepwacowagging-myshopify-/icon-plus_65e2ce1c.svg,svg,vector,vector,n/a,vector,296,Mockup/Theme asset,,1-vector,Mockup/theme reference — not print art
theme_export__keepwacowagging-myshopify-,icon-reset_0da6c3ed.svg,recovered-assets/theme_export__keepwacowagging-myshopify-/icon-reset_0da6c3ed.svg,svg,vector,vector,n/a,vector,247,Mockup/Theme asset,,1-vector,Mockup/theme reference — not print art
theme_export__keepwacowagging-myshopify-,icon-chat-bubble_3acb3843.svg,recovered-assets/theme_export__keepwacowagging-myshopify-/icon-chat-bubble_3acb3843.svg,svg,vector,vector,n/a,vector,767,Mockup/Theme asset,,1-vector,Mockup/theme reference — not print art
theme_export__keepwacowagging-myshopify-,icon-shoe_e01a09bf.svg,recovered-assets/theme_export__keepwacowagging-myshopify-/icon-shoe_e01a09bf.svg,svg,vector,vector,n/a,vector,900,Mockup/Theme asset,,1-vector,Mockup/theme reference — not print art
