product_id,launch_wave,priority,channel,design_family,city,breed,product_name,shopify_title,etsy_title,handle,artwork_light,artwork_dark,blank_name,printify_blueprint_id,print_provider,print_provider_id,print_area,sizes,printify_color_names,kww_color_mapping,base_cost_low,base_cost_high,retail_price,gross_profit_low,gross_margin_low,shopify_description,etsy_description,etsy_tags,materials,shopify_collection,shopify_tags,seo_title,seo_description,image_alt_text,personalization_ready,personalization_status,artwork_status,mockup_status,qa_status,printify_product_id,shopify_product_id,etsy_listing_id,publish_status,errors,notes
city-waco-skyline,wave-1-test,P0,shopify,City Skyline,Waco,,Keep Waco Wagging — Waco Skyline Tee,Keep Waco Wagging — Waco Skyline Tee,"Keep Waco Wagging Tee, Waco Skyline Dog Shirt, Comfort Colors Waco Texas T-Shirt, Alico Building Suspension Bridge, Dog Mom Gift",keep-waco-wagging-waco-skyline-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom|Pepper,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose|Pepper=Bark Brown,11.50,16.75,34.00,17.25,50.74%,"Keep Waco Wagging — Waco skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line Waco landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low.",,,"Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — Waco Skyline Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — Waco Skyline Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — Waco Skyline Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,REVISE,REVISE,BLOCKED_ARTWORK,,,,DRAFT,,REVISE: Phase2 trace collapsed ALICO windows/courthouse into solid blocks. Source raster has detail at 1536px but no separate PDF objects. No production master approved.
city-waco-skyline,wave-1-test,P0,etsy,City Skyline,Waco,,Keep Waco Wagging — Waco Skyline Tee,Keep Waco Wagging — Waco Skyline Tee,"Keep Waco Wagging Tee, Waco Skyline Dog Shirt, Comfort Colors Waco Texas T-Shirt, Alico Building Suspension Bridge, Dog Mom Gift",keep-waco-wagging-waco-skyline-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom|Pepper,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose|Pepper=Bark Brown,11.50,16.75,34.00,17.25,50.74%,,"Keep Waco Wagging — Waco skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line Waco landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low. Standard design only — dog-name personalization is not available yet.","keep waco wagging, waco texas shirt, waco skyline, dog mom shirt, comfort colors, alico building, texas dog shirt, waco tx gift, dog lover shirt, suspension bridge, dog dad gift, waco dog tee, baylor waco tee","Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — Waco Skyline Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — Waco Skyline Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — Waco Skyline Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,REVISE,REVISE,BLOCKED_ARTWORK,,,,DRAFT,,REVISE: Phase2 trace collapsed ALICO windows/courthouse into solid blocks. Source raster has detail at 1536px but no separate PDF objects. No production master approved.
city-austin-pup-culture,wave-1,P1,shopify,City Skyline,Austin,,Keep Waco Wagging — Austin Pup Culture Tee,Keep Waco Wagging — Austin Pup Culture Tee,"Austin Pup Culture Tee, Austin Skyline Dog Shirt, Comfort Colors Austin Texas T-Shirt, Capitol Frost Tower, Dog Mom Gift ATX",keep-waco-wagging-austin-pup-culture-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose,11.50,16.75,34.00,17.25,50.74%,"Keep Waco Wagging — Austin skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line Austin landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low.",,,"Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — Austin Pup Culture Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — Austin Pup Culture Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — Austin Pup Culture Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,BLOCKED_ARTWORK,PENDING,PENDING,,,,DRAFT,,Artwork paths assigned after owner confirms production files
city-austin-pup-culture,wave-1,P1,etsy,City Skyline,Austin,,Keep Waco Wagging — Austin Pup Culture Tee,Keep Waco Wagging — Austin Pup Culture Tee,"Austin Pup Culture Tee, Austin Skyline Dog Shirt, Comfort Colors Austin Texas T-Shirt, Capitol Frost Tower, Dog Mom Gift ATX",keep-waco-wagging-austin-pup-culture-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose,11.50,16.75,34.00,17.25,50.74%,,"Keep Waco Wagging — Austin skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line Austin landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low. Standard design only — dog-name personalization is not available yet.","austin dog shirt, keep waco wagging, texas city tee, comfort colors, dog mom shirt, skyline shirt, texas dog shirt, dog lover gift, austin tx gift, dog dad shirt, waco brand tee, garment dyed tee, unisex dog tee","Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — Austin Pup Culture Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — Austin Pup Culture Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — Austin Pup Culture Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,BLOCKED_ARTWORK,PENDING,PENDING,,,,DRAFT,,Artwork paths assigned after owner confirms production files
city-dallas-dog-scene,wave-1,P1,shopify,City Skyline,Dallas,,Keep Waco Wagging — Dallas Dog Scene Tee,Keep Waco Wagging — Dallas Dog Scene Tee,"Dallas Dog Scene Tee, Dallas Skyline Dog Shirt, Comfort Colors Dallas Texas T-Shirt, Reunion Tower Pegasus, Dog Mom Gift DFW",keep-waco-wagging-dallas-dog-scene-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose,11.50,16.75,34.00,17.25,50.74%,"Keep Waco Wagging — Dallas skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line Dallas landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low.",,,"Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — Dallas Dog Scene Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — Dallas Dog Scene Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — Dallas Dog Scene Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,BLOCKED_ARTWORK,PENDING,PENDING,,,,DRAFT,,Artwork paths assigned after owner confirms production files
city-dallas-dog-scene,wave-1,P1,etsy,City Skyline,Dallas,,Keep Waco Wagging — Dallas Dog Scene Tee,Keep Waco Wagging — Dallas Dog Scene Tee,"Dallas Dog Scene Tee, Dallas Skyline Dog Shirt, Comfort Colors Dallas Texas T-Shirt, Reunion Tower Pegasus, Dog Mom Gift DFW",keep-waco-wagging-dallas-dog-scene-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose,11.50,16.75,34.00,17.25,50.74%,,"Keep Waco Wagging — Dallas skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line Dallas landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low. Standard design only — dog-name personalization is not available yet.","dallas dog shirt, keep waco wagging, texas city tee, comfort colors, dog mom shirt, skyline shirt, texas dog shirt, dog lover gift, dallas tx gift, dog dad shirt, waco brand tee, garment dyed tee, unisex dog tee","Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — Dallas Dog Scene Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — Dallas Dog Scene Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — Dallas Dog Scene Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,BLOCKED_ARTWORK,PENDING,PENDING,,,,DRAFT,,Artwork paths assigned after owner confirms production files
city-san-antonio-sniffari,wave-1,P1,shopify,City Skyline,San Antonio,,Keep Waco Wagging — San Antonio Sniffari Tee,Keep Waco Wagging — San Antonio Sniffari Tee,"San Antonio Sniffari Tee, SA Skyline Dog Shirt, Comfort Colors San Antonio Texas T-Shirt, Alamo Tower of Americas, Dog Mom Gift",keep-waco-wagging-san-antonio-sniffari-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose,11.50,16.75,34.00,17.25,50.74%,"Keep Waco Wagging — San Antonio skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line San Antonio landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low.",,,"Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — San Antonio Sniffari Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — San Antonio Sniffari Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — San Antonio Sniffari Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,BLOCKED_ARTWORK,PENDING,PENDING,,,,DRAFT,,Artwork paths assigned after owner confirms production files
city-san-antonio-sniffari,wave-1,P1,etsy,City Skyline,San Antonio,,Keep Waco Wagging — San Antonio Sniffari Tee,Keep Waco Wagging — San Antonio Sniffari Tee,"San Antonio Sniffari Tee, SA Skyline Dog Shirt, Comfort Colors San Antonio Texas T-Shirt, Alamo Tower of Americas, Dog Mom Gift",keep-waco-wagging-san-antonio-sniffari-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose,11.50,16.75,34.00,17.25,50.74%,,"Keep Waco Wagging — San Antonio skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line San Antonio landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low. Standard design only — dog-name personalization is not available yet.","san dog shirt, keep waco wagging, texas city tee, comfort colors, dog mom shirt, skyline shirt, texas dog shirt, dog lover gift, san tx gift, dog dad shirt, waco brand tee, garment dyed tee, unisex dog tee","Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — San Antonio Sniffari Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — San Antonio Sniffari Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — San Antonio Sniffari Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,BLOCKED_ARTWORK,PENDING,PENDING,,,,DRAFT,,Artwork paths assigned after owner confirms production files
city-houston-howling,wave-1,P1,shopify,City Skyline,Houston,,Keep Waco Wagging — Houston Howling Tee,Keep Waco Wagging — Houston Howling Tee,"Houston Howling Tee, Houston Skyline Dog Shirt, Comfort Colors Houston Texas T-Shirt, Space City Chase Tower, Dog Mom Gift HTX",keep-waco-wagging-houston-howling-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose,11.50,16.75,34.00,17.25,50.74%,"Keep Waco Wagging — Houston skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line Houston landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low.",,,"Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — Houston Howling Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — Houston Howling Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — Houston Howling Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,BLOCKED_ARTWORK,PENDING,PENDING,,,,DRAFT,,Artwork paths assigned after owner confirms production files
city-houston-howling,wave-1,P1,etsy,City Skyline,Houston,,Keep Waco Wagging — Houston Howling Tee,Keep Waco Wagging — Houston Howling Tee,"Houston Howling Tee, Houston Skyline Dog Shirt, Comfort Colors Houston Texas T-Shirt, Space City Chase Tower, Dog Mom Gift HTX",keep-waco-wagging-houston-howling-tee,,,Comfort Colors 1717 Unisex Garment-Dyed T-Shirt,706,TBD — verify in Printify,,front,S|M|L|XL|2XL|3XL,Ivory|Bay|Blue Jean|Blossom,Ivory=Kitchen Cream|Bay=Wag Sage|Blue Jean=Brazos Blue|Blossom=Good-Towel Rose,11.50,16.75,34.00,17.25,50.74%,,"Keep Waco Wagging — Houston skyline on a Comfort Colors 1717 garment-dyed tee. Hand-drawn single-line Houston landmarks with the Keep Waco Wagging wordmark. Relaxed unisex fit, ring-spun cotton, printed to order. Machine wash cold inside-out; tumble dry low. Standard design only — dog-name personalization is not available yet.","houston dog shirt, keep waco wagging, texas city tee, comfort colors, dog mom shirt, skyline shirt, texas dog shirt, dog lover gift, houston tx gift, dog dad shirt, waco brand tee, garment dyed tee, unisex dog tee","Comfort Colors 1717, ring-spun cotton, DTG print",Texas City Dog Tees,"Comfort Colors, Waco, Dog Mom, Dog Dad, Keep Waco Wagging",Keep Waco Wagging — Houston Howling Tee | Keep Waco Wagging,"Shop the Keep Waco Wagging — Houston Howling Tee — Comfort Colors 1717, curated KWW colors, printed to order. Waco-founded dog-family brand.","Keep Waco Wagging — Houston Howling Tee — Comfort Colors 1717 garment-dyed tee, front print mockup",NO,BLOCKED_WORKFLOW,BLOCKED_ARTWORK,PENDING,PENDING,,,,DRAFT,,Artwork paths assigned after owner confirms production files
