design_id,design_name,product_name,design_type,illustration_recovered,complete_apparel_composition_recovered,light_version_recovered,dark_version_recovered,wordmark_recovered,editable_vector_recovered,high_res_transparent_png_recovered,source_location,current_status,missing_components,recommended_next_action
city-waco,Waco,Waco Skyline Tee,City Skyline,yes,partial,yes,yes,partial,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) xref26/29 + smask,PARTIAL_SOURCE_RECOVERED,300DPI master; ALICO/courthouse lost in Phase2 trace; finished city tee composition,REQUIRES_MANUAL_RECONSTRUCTION at vector scale from approved 1536px reference
city-austin,Austin,Austin Pup Culture Tee,City Skyline,yes,partial,yes,yes,partial,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) xref31/33,PARTIAL_SOURCE_RECOVERED,Production master; Austin TX script; 300DPI transparent PNG,REQUIRES_MANUAL_RECONSTRUCTION
city-dallas,Dallas,Dallas Dog Scene Tee,City Skyline,yes,partial,yes,yes,partial,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) xref35/37,PARTIAL_SOURCE_RECOVERED,Production master; Dallas TX script; 300DPI transparent PNG,REQUIRES_MANUAL_RECONSTRUCTION
city-san-antonio,San Antonio,San Antonio Sniffari Tee,City Skyline,yes,partial,yes,yes,partial,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) xref48/50,PARTIAL_SOURCE_RECOVERED,Production master; SA script; 300DPI transparent PNG,REQUIRES_MANUAL_RECONSTRUCTION
city-houston,Houston,Houston Howling Tee,City Skyline,yes,partial,yes,yes,partial,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) xref52/54,PARTIAL_SOURCE_RECOVERED,Production master; Houston script; 300DPI transparent PNG,REQUIRES_MANUAL_RECONSTRUCTION
breed-french-bulldog,French Bulldog,French Bulldog Tee,Breed Skyline,yes,mockup_only,ill_only,no,mockup_only,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) xref62 illustration; img-038/039 mockup photos,MOCKUP_ONLY,Isolated hand-lettered script PNG/SVG; transparent finished composition C; 300DPI print file,REQUIRES_ORIGINAL_DESIGN — owner must confirm script vs logo lockup before composing C
breed-dachshund,Dachshund,Dachshund Tee,Breed Skyline,yes,no,ill_only,no,no,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) breed grid page 5,ILLUSTRATION_ONLY,Finished apparel composition C; wordmark; skyline pairing; 300DPI master,REQUIRES_ORIGINAL_DESIGN after owner layout direction
breed-golden-retriever,Golden Retriever,Golden Retriever Tee,Breed Skyline,yes,mockup_only,ill_only,no,conflicting,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) xref66; Downloads/keep_waco_wagging_golden_*_mockup.png (old layout),REQUIRES_ORIGINAL_DESIGN,Approved CC1717 launch composition; packet has illustration only; mockup zip uses different serif layout,REQUIRES_ORIGINAL_DESIGN — do not auto-assemble dog+logo; confirm layout with owner
breed-labrador,Labrador Retriever,Labrador Retriever Tee,Breed Skyline,yes,no,ill_only,no,no,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) breed grid page 5,ILLUSTRATION_ONLY,Finished apparel composition C; wordmark; skyline pairing; 300DPI master,REQUIRES_ORIGINAL_DESIGN after owner layout direction
breed-german-shepherd,German Shepherd,German Shepherd Tee,Breed Skyline,yes,no,ill_only,no,no,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) breed grid page 5,ILLUSTRATION_ONLY,Finished apparel composition C; wordmark; skyline pairing; 300DPI master,REQUIRES_ORIGINAL_DESIGN after owner layout direction
breed-corgi,Corgi,Corgi Tee,Breed Skyline,yes,no,ill_only,no,no,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) breed grid page 5,ILLUSTRATION_ONLY,Finished apparel composition C; wordmark; skyline pairing; 300DPI master,REQUIRES_ORIGINAL_DESIGN after owner layout direction
breed-chihuahua,Chihuahua,Chihuahua Tee,Breed Skyline,yes,no,ill_only,no,no,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) breed grid page 5,ILLUSTRATION_ONLY,Finished apparel composition C; wordmark; skyline pairing; 300DPI master,REQUIRES_ORIGINAL_DESIGN after owner layout direction
breed-australian-shepherd,Australian Shepherd,Australian Shepherd Tee,Breed Skyline,yes,no,ill_only,no,no,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) breed grid page 5,ILLUSTRATION_ONLY,Finished apparel composition C; wordmark; skyline pairing; 300DPI master,REQUIRES_ORIGINAL_DESIGN after owner layout direction
breed-siberian-husky,Siberian Husky,Siberian Husky Tee,Breed Skyline,yes,no,ill_only,no,no,no,no,KWW_Production_Packet.pdf (PyMuPDF alpha + pdfimages + pdftocairo) breed grid page 5,ILLUSTRATION_ONLY,Finished apparel composition C; wordmark; skyline pairing; 300DPI master,REQUIRES_ORIGINAL_DESIGN after owner layout direction
